index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
1105;Martine;LUDI;femme;;025-05;LFI;;La France Insoumise;
1106;Philippe;ALPY;homme;;025-05;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
1107;Mathilde;JURY;femme;;025-05;RN;;Rassemblement National;
1108;Elena;LEBECQUE;femme;;025-05;Reconquête;;Reconquête !;
1109;Sonya;MORRISON;femme;;025-05;LO;;Divers extrême gauche;
1110;Mireille;CLAPOT;femme;checked;026-01;LRM;;Ensemble ! (Majorité présidentielle);
1111;Pascale;VINCENT;femme;;026-01;Reconquête;;Reconquête !;
1112;Karim;CHKERI;homme;;026-01;LFI;;La France Insoumise;
1113;Bruno;CASARI;homme;;026-01;LRM;checked;Divers centre;
1114;Samantha;ROSE;femme;;026-01;Parti animaliste;;Ecologistes;
1115;Ozbay;PEHLIVAN;homme;;026-01;UDMF;;Divers gauche;
1116;Véronique;PUGEAT;femme;;026-01;LR;;Les Républicains;
1117;Adèle;KOPFF;femme;;026-01;LO;;Divers extrême gauche;
1118;Pierrick;BRÉBANT;homme;;026-01;Patriotes;;Droite souverainiste;
1119;Charles;BARJONET;homme;;026-01;Parti pirate;;Divers;
1120;Philippe;TOSELLO-PACE;homme;;026-01;RN;;Rassemblement National;
1121;Tifanie;PIGA;femme;;026-01;DVC;;Ecologistes;
1122;Lisette;POLLET;femme;;026-02;RN;;Rassemblement National;
1123;Arnaud;ALZAT-LALY;homme;;026-02;DLF;;Droite souverainiste;
1124;Thomas;BATTESTI;homme;;026-02;Reconquête;;Reconquête !;
1125;Rémi;DUBOIS;homme;;026-02;Parti animaliste;;Ecologistes;
1126;Benoît;MACLIN;homme;;026-02;LRM;;Ensemble ! (Majorité présidentielle);
1127;Gilles;REYNAUD;homme;;026-02;LFI;;La France Insoumise;
1128;Valérie;ARNAVON;femme;;026-02;LR;;Les Républicains;
1129;Mohamed;AISSOU;homme;;026-02;DIV;;Ecologistes;
1130;Salim;BOUZIANE;homme;;026-02;LRM;checked;Divers centre;
1131;Guy;RAT;homme;;026-02;LO;;Divers extrême gauche;
1132;Célia;DE LAVERGNE;femme;checked;026-03;LRM;;Ensemble ! (Majorité présidentielle);
1133;Paul;BERARD;homme;;026-03;LR;;Les Républicains;
1134;Alain;MAURICE;homme;;026-03;DVG;;Divers gauche;
1135;Elise;BLANCHARD;femme;;026-03;PCF;checked;Parti communiste français;
1136;Sylvie;MARTIN;femme;;026-03;Patriotes;;Droite souverainiste;
1137;Virginie;RAYNAL;femme;;026-03;Reconquête;;Reconquête !;
1138;Charly;CHAMPMARTIN;homme;;026-03;LO;;Divers extrême gauche;
1139;Philippe;DOS REIS;homme;;026-03;RN;;Rassemblement National;
1140;Marie;POCHON;femme;;026-03;EE-LV;;Ecologistes;https://twitter.com/MariePochon
1141;Gérard;JULIEN;homme;;026-04;DIV;;Droite souverainiste;
1142;Olivier;GAFA;homme;;026-04;MDM,LRM;;Ensemble ! (Majorité présidentielle);
1143;Nadine;NICOLAS;femme;;026-04;DLF;;Droite souverainiste;
1144;Emmanuelle;ANTHOINE;femme;checked;026-04;LR;;Les Républicains;
1145;Monique;BERNARD;femme;;026-04;LO;;Divers extrême gauche;
1146;Aydin;TANRIVERDI;homme;;026-04;UDMF;;Divers gauche;
1147;Geneviève;VERNY;femme;;026-04;Reconquête;;Reconquête !;
1148;Véronique;STIN;femme;;026-04;RN;;Rassemblement National;
1149;Pierre;JOUVET;homme;;026-04;PS;;Parti socialiste;https://twitter.com/PJouvet
1150;Anne;DUCAMP;femme;;027-01;LO;;Divers extrême gauche;
1151;Christine;LOIR;femme;;027-01;RN;;Rassemblement National;
1152;Fabrice;MONNIER;homme;;027-01;DLF;;Droite souverainiste;
1153;Nicolas;MIGUET;homme;;027-01;EXD;;Divers extrême droite;
1154;Catherine;HÉLAYEL;femme;;027-01;Parti animaliste;;Ecologistes;
1155;Valérie;POIRSON;femme;;027-01;Reconquête;;Reconquête !;
1156;Anne;MANSOURET;femme;;027-01;DVG;;Divers gauche;
1157;Véronique;ALLO;femme;;027-01;DVE;;Ecologistes;
1158;Christophe;ALORY;homme;;027-01;LR;;Les Républicains;
1159;Séverine;GIPSON;femme;checked;027-01;LRM;;Ensemble ! (Majorité présidentielle);
1160;Christophe;ANCELIN;homme;;027-01;LFI;;La France Insoumise;
1161;Katiana;LEVAVASSEUR;femme;;027-02;RN;;Rassemblement National;
1162;Nathalie;SAMSON;femme;;027-02;LFI;;La France Insoumise;https://twitter.com/UnionPop27cir2
1163;Mélanie;PEYRAUD;femme;;027-02;LO;;Divers extrême gauche;
1164;Martine;FOUQUES;femme;;027-02;DVE;;Ecologistes;
1165;Fabien;GOUTTEFARDE;homme;checked;027-02;LRM;;Ensemble ! (Majorité présidentielle);
1166;Françoise;FAUVEAU;femme;;027-02;Patriotes;;Droite souverainiste;
1167;Laurent;CRIQUET;homme;;027-02;EXG;;Divers extrême gauche;
1168;Francine;MARAGLIANO;femme;;027-02;LR;;Les Républicains;
1169;Emmanuel;CAMOIN;homme;;027-02;Reconquête;;Reconquête !;
1170;Thomas;DARROUSSAT;homme;;027-02;Parti animaliste;;Ecologistes;
1171;Sylvain;BERTOIS;homme;;027-02;MdR;;Divers droite;
1172;Marie;TAMARELLE-VERHAEGHE;femme;;027-03;LRM;;Ensemble ! (Majorité présidentielle);
1173;Julien;DELANGLE;homme;;027-03;DVD;;Divers;
1174;Christophe;COSTEY;homme;;027-03;MdR;;Divers droite;
1175;Thomas;ELEXHAUSER;homme;;027-03;Les Centristes,LR;;Divers droite;
1176;Annaïck;WAYOLLE;femme;;027-03;Parti animaliste;;Ecologistes;
1177;Dorine;LE PÊCHEUR;femme;;027-03;LFI;;La France Insoumise;
1178;Catherine;ROUVIER;femme;;027-03;Reconquête;;Reconquête !;
1179;Marie-Noëlle;HUARD;femme;;027-03;LO;;Divers extrême gauche;
1180;Kévin;MAUVIEUX;homme;;027-03;RN;;Rassemblement National;
1181;Christophe;SOLAL;homme;;027-04;LO;;Divers extrême gauche;
1182;Sylvain;THOMAS;homme;;027-04;Parti animaliste;;Ecologistes;
1183;Nadjia;DJEMEL;femme;;027-04;DIV;;Ecologistes;
1184;Bruno;QUESTEL;homme;checked;027-04;LRM;;Ensemble ! (Majorité présidentielle);
1185;William;BERTRAND;homme;;027-04;Reconquête;;Reconquête !;
1186;Naji;DEBACHE;homme;;027-04;DLF;;Droite souverainiste;
1187;Philippe;BRUN;homme;;027-04;PS;;Parti socialiste;https://twitter.com/p_brun
1188;Marie-Dominique;PERCHET;femme;;027-04;LR;;Les Républicains;
1189;Anthony;GUILMIN;homme;;027-04;DIV;;Divers;
1190;Chrystelle;SAULIÈRE;femme;;027-04;RN;;Rassemblement National;
1191;Olivier;TACONET;homme;;027-04;PRG;;Parti radical de gauche;
1192;Fatoumata;NIAKATE;femme;;027-05;EXD;;Divers extrême droite;
1193;Pierre-Yves;JOURDAIN;homme;;027-05;EE-LV;;Ecologistes;https://twitter.com/PYJourdain2022
1194;Delphine;BLITMAN;femme;;027-05;LO;;Divers extrême gauche;
1195;Karl;TOQUARD;homme;;027-05;DLF;;Droite souverainiste;
1196;Timothée;HOUSSIN;homme;;027-05;RN;;Rassemblement National;
1197;Martine;RABIER;femme;;027-05;Parti animaliste;;Ecologistes;
1198;François;BONNET;homme;;027-05;Reconquête;;Reconquête !;
1199;Joëlle;FONTAINE;femme;;027-05;DVE;;Ecologistes;
1200;David;DAVERTON;homme;;027-05;LR;;Les Républicains;
1201;François;OUZILLEAU;homme;;027-05;LRM;;Ensemble ! (Majorité présidentielle);
1202;Pierre;MAZAHERI;homme;;028-01;Parti animaliste;;Ecologistes;
1203;Lucien;MAILLET;homme;;028-01;Patriotes;;Droite souverainiste;
1204;Ladislas;VERGNE;homme;;028-01;LR;;Les Républicains;
1205;Karine;DORANGE;femme;;028-01;LR;checked;Divers droite;
1206;Guillaume;KASBARIAN;homme;checked;028-01;LRM;;Ensemble ! (Majorité présidentielle);
1207;Marie-José;AUBERT;femme;;028-01;LO;;Divers extrême gauche;
1208;Quentin;GUILLEMAIN;homme;;028-01;EE-LV;;Ecologistes;https://twitter.com/qguillemain
1209;Cyril;HEMARDINQUER;homme;;028-01;Reconquête;;Reconquête !;
1210;David;DELORME-MONSARRAT;homme;;028-01;RN;;Rassemblement National;
1211;Olivier;MARLEIX;homme;checked;028-02;LR;;Les Républicains;
1212;Yassin;CHAARY;homme;;028-02;LFI;checked;Divers extrême gauche;
1213;Emmanuelle;KRAEMER;femme;;028-02;EXG;;Divers extrême gauche;
1214;Maxime;DAVID;homme;;028-02;LRM;;Ensemble ! (Majorité présidentielle);
1215;Agnès;D'AMILLY;femme;;028-02;Reconquête;;Reconquête !;
1216;Pierre-Marcel;REIGNIER;homme;;028-02;Parti animaliste;;Ecologistes;
1217;Béatrice;JAFFRENOU;femme;;028-02;EXG;;Divers extrême gauche;
1218;Adrien;DENIS;homme;;028-02;LO;;Divers extrême gauche;
1219;Kévin;BOËTÉ;homme;;028-02;LFI;;La France Insoumise;
1220;Emeline;LUZEAU;femme;;028-02;DLF;;Droite souverainiste;
1221;Sylvie;CASTRO;femme;;028-02;DVE;;Ecologistes;
1222;Aleksandar;NIKOLIC;homme;;028-02;RN;;Rassemblement National;
1223;Éric;LAQUA;homme;;028-03;Reconquête;;Reconquête !;
1224;Valéria;ORFILA;femme;;028-03;LFI;;La France Insoumise;
1225;Rémi;MARTIAL;homme;;028-03;LR;;Les Républicains;
1226;Carole;GERACI;femme;;028-03;DVD;;Divers;
1227;Luc;LAMIRAULT;homme;checked;028-03;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
1228;Régine;FLAUNET;femme;;028-03;RN;;Rassemblement National;
1229;Damien;BOUTICOURT;homme;;028-03;DLF;;Droite souverainiste;
1230;Vincent;CHEVROLLIER;homme;;028-03;LO;;Divers extrême gauche;
1231;Vivette;JOLY;femme;;028-03;DVE;;Ecologistes;
1232;Romain;RIBAS;homme;;028-03;DVG;;Divers centre;
1233;Soumaya;DARDABA;femme;;028-03;DVE;;Ecologistes;
1234;Claire;BARBIER;femme;;028-03;Parti animaliste;;Ecologistes;
1235;Aurore;LAMOUREUX;femme;;028-03;EXG;;Divers extrême gauche;
1236;Mathieu;GASTON;homme;;028-04;LFI;;La France Insoumise;
1237;Vincent;LHOPITEAU;homme;;028-04;Reconquête;;Reconquête !;
1238;Philippe;VIGIER;homme;checked;028-04;MDM,LRM;;Ensemble ! (Majorité présidentielle);
1239;Virginia;DE OLIVEIRA;femme;;028-04;RN;;Rassemblement National;
1240;Pierre;MIOQUE;homme;;028-04;Parti animaliste;;Ecologistes;
1241;Anne-Laure;ASSAYAG;femme;;028-04;LO;;Divers extrême gauche;
1242;Evelyne;DASSAS;femme;;028-04;DVE;;Ecologistes;
1243;Elisabeth;MEYBLUM;femme;;028-04;LR;;Les Républicains;
1244;Aude;LEMOINE;femme;;028-04;SOUV;;Droite souverainiste;
1245;Georges-Philippe;FONTAINE;homme;;029-01;LR;checked;Divers droite;
1246;Thierry;BILLARD;homme;;029-01;Patriotes;;Droite souverainiste;
1247;Izold;GUÉGAN;femme;;029-01;REG;;Régionaliste;
1248;Bernard;LE REST;homme;;029-01;RPS;;Régionaliste;
1249;Annaïg;LE MEUR;femme;checked;029-01;LRM;;Ensemble ! (Majorité présidentielle);
1250;Isabelle;MÉNARD;femme;;029-01;UDI;;Union des Démocrates et des Indépendants;
1251;France;HERMAN;femme;;029-01;Reconquête;;Reconquête !;
1252;Christel;HÉNAFF;femme;;029-01;RN;;Rassemblement National;
1253;Grégory;LEBERT;homme;;029-01;EE-LV;;Ecologistes;https://twitter.com/GregLebert29
1254;Élisabeth;PIRO;femme;;029-01;LO;;Divers extrême gauche;
1255;Réza;SALAMI;homme;;029-02;PS;checked;Parti socialiste;
1256;Rémy;COLLARD;homme;;029-02;LO;;Divers extrême gauche;
1257;Jean-Yves;LE CORRE;homme;;029-02;Parti animaliste;;Ecologistes;
1258;Jean-Charles;LARSONNEUR;homme;;029-02;LRM;checked;Divers centre;
1259;Sylvia;MADEC;femme;;029-02;REG;;Régionaliste;
1260;Anne;GÉLÉBART;femme;;029-02;UDI;;Union des Démocrates et des Indépendants;
1261;Gérald;HEBERT;homme;;029-02;Patriotes;;Droite souverainiste;
1262;Melvyn;HITA;homme;;029-02;EXG;;Divers extrême gauche;
1263;Alice;VASSEUR;femme;;029-02;Parti pirate;;Divers gauche;
1264;Fortuné;PELLICANO;homme;;029-02;PRG;;Parti radical de gauche;
1265;Pierre-Yves;CADALEN;homme;;029-02;LFI;;La France Insoumise;https://twitter.com/pycadalen
1266;Mikaël;CABON;homme;;029-02;LRM;checked;Divers centre;
1267;Marc;COATANEA;homme;;029-02;LRM;;Ensemble ! (Majorité présidentielle);
1268;Yvette;POULLAOUEC;femme;;029-02;RN;;Rassemblement National;
1269;Sandrine;MIGEREL;femme;;029-02;RPS;;Régionaliste;
1270;Elisabeth;LOUVEL;femme;;029-02;Reconquête;;Reconquête !;
1271;Pierre;SMOLARZ;homme;;029-03;LFI;;La France Insoumise;https://twitter.com/PierreSlz
1272;Loïc;DUPRAT;homme;;029-03;REG;;Régionaliste;
1273;Roger;ABASQ;homme;;029-03;RN;;Rassemblement National;
1274;Matthieu;MULLER;homme;;029-03;LO;;Divers extrême gauche;
1275;Didier;LE GAC;homme;checked;029-03;LRM;;Ensemble ! (Majorité présidentielle);
1276;Yves;GUEGUEN;homme;;029-03;DLF;;Droite souverainiste;
1277;Patricia;LE MOIGN;femme;;029-03;Reconquête;;Reconquête !;
1278;Jean-Marc;GOVERNATORI;homme;;029-03;EAC;;Ecologistes;
1279;Francis;LE BIAN;homme;;029-03;LR;;Les Républicains;
1280;Michel;BEAUPRÉ;homme;;029-04;RPS;;Régionaliste;
1281;Sylvaine;VULPIANI;femme;;029-04;Génération·s;;Ecologistes;https://twitter.com/Vulpiani_S
1282;Marie-Claire;HÉNAFF;femme;;029-04;LR;;Les Républicains;
1283;Jérôme;BERGAMI;homme;;029-04;Reconquête;;Reconquête !;
1284;Guillaume;ENFROY;homme;;029-04;Parti pirate;;Divers;
1285;Jean-François;LEMÉNICIER;homme;;029-04;Parti animaliste;;Ecologistes;
1286;Michel;PAYRAUD;homme;;029-04;DIV;;Divers centre;
1287;Monique;RENOU;femme;;029-04;Patriotes;;Droite souverainiste;
1288;Sandrine;LE FEUR;femme;checked;029-04;LRM;;Ensemble ! (Majorité présidentielle);
1289;Tony;BIHOUEE;homme;;029-04;RN;;Rassemblement National;
1290;Patricia;BLOSSE;femme;;029-04;LO;;Divers extrême gauche;
1291;Angélique;DE CECCO;femme;;029-05;RPS;;Régionaliste;
1292;Félix;BRIANT;homme;;029-05;LR;;Les Républicains;
1293;Christian;CAJEAN;homme;;029-05;LO;;Divers extrême gauche;
1294;Nathalie;SARRABEZOLLES;femme;;029-05;PS;;Parti socialiste;https://twitter.com/NSarrabezolles
1295;Stéphanie;MURIOT;femme;;029-05;Parti animaliste;;Ecologistes;
1296;Thierry-Hubert;LOLLIÉROU;homme;;029-05;Reconquête;;Reconquête !;
1297;Renée;THOMAÏDIS;femme;;029-05;RN;;Rassemblement National;
1298;Graziella;MELCHIOR;femme;checked;029-05;LRM;;Ensemble ! (Majorité présidentielle);
1299;Brigitte;LE NY;femme;;029-05;REG;;Régionaliste;
1300;Valérie;FABRE;femme;;029-06;Parti pirate;;Divers;
1301;Patrick;LE FUR;homme;;029-06;RN;;Rassemblement National;
1302;Sophie;BROUSTAUT;femme;;029-06;Reconquête;;Reconquête !;
1303;Mélanie;THOMIN;femme;;029-06;PS;;Parti socialiste;
1304;Philippe;PLOUZANÉ;homme;;029-06;RPS;;Régionaliste;
1305;Richard;FERRAND;homme;checked;029-06;LRM;;Ensemble ! (Majorité présidentielle);
1306;Alan;PASQUET;homme;;029-06;REG;;Régionaliste;
1307;Mathilde Maria;PFLIEGER;femme;;029-06;DIV;;Divers;
1308;Gaëlle;NICOLAS;femme;;029-06;LR;;Les Républicains;
1309;Bernard;FEHRINGER;homme;;029-06;Parti animaliste;;Ecologistes;
1310;Tugdual;PERENNEC;homme;;029-06;DIV;;Divers;
1311;Philippe;CORDIER;homme;;029-06;LO;;Divers extrême gauche;
1312;Tiphaine;BEAULIEU;femme;;029-06;Résistons;;Divers;
1313;Liliana;TANGUY;femme;checked;029-07;LRM;;Ensemble ! (Majorité présidentielle);
1314;Jacques;TANGUY;homme;;029-07;Résistons;;Divers;
1315;Yolande;BOUIN;femme;;029-07;LFI;;La France Insoumise;
1316;Alain;PEREZ;homme;;029-07;DIV;;Divers;
1317;Eric;LE GUEN;homme;;029-07;LR;;Les Républicains;
1318;Aela;MALET;femme;;029-07;REG;;Régionaliste;
1319;Patrik;CRIQUET;homme;;029-07;DIV;;Divers;
1320;Yann;LERICHE;homme;;029-07;Reconquête;;Reconquête !;
1321;Franck;NICOLAS;homme;;029-07;RN;;Rassemblement National;
1322;Abbas;DJOBO;homme;;029-07;Parti animaliste;;Ecologistes;
1323;Régis;DEBLIQUI;homme;;029-07;LO;;Divers extrême gauche;
1324;Maxime;TOUZÉ;homme;;029-07;RPS;;Régionaliste;
1325;Claire;GOURLAOUEN;femme;;029-08;LR;;Les Républicains;
1326;Laurent;DRAN;homme;;029-08;Parti animaliste;;Ecologistes;
1327;Manon;CUCINIELLO;femme;;029-08;DLF;;Droite souverainiste;
1328;Youenn;LE FLAO;homme;;029-08;LFI;;La France Insoumise;
1329;Erwan;BALANANT;homme;checked;029-08;MDM,LRM;;Ensemble ! (Majorité présidentielle);
1330;Christian;PEREZ;homme;;029-08;RN;;Rassemblement National;
1331;Anne;MOREL;femme;;029-08;LO;;Divers extrême gauche;
1332;Pierre;COUËDELO;homme;;029-08;Reconquête;;Reconquête !;
1333;Claire;PAINGAULT;femme;;029-08;REG;;Régionaliste;
1334;Françoise;DUMAS;femme;checked;030-01;LRM;;Ensemble ! (Majorité présidentielle);
1335;Yoann;GILLET;homme;;030-01;RN;;Rassemblement National;
1336;Sarah;AUSSEIL;femme;;030-01;MdR;;Divers droite;
1337;Erick;CAVAGLIA;homme;;030-01;Reconquête;;Reconquête !;
1338;Evrard;ZAOUCHE;homme;;030-01;DIV;;Divers;
1339;Véronique;GARDEUR-BANCEL;femme;;030-01;LR;;Les Républicains;
1340;Isabelle;LECLERC;femme;;030-01;LO;;Divers extrême gauche;
1341;Yannick;COGO;homme;;030-01;Parti animaliste;;Ecologistes;
1342;Naïma;OUATELI;femme;;030-01;UDMF;;Divers;
1343;Charles;MENARD;homme;;030-01;LFI;;La France Insoumise;
1344;Alain;MOULA;homme;;030-01;DIV;;Divers;
1345;Sylvie;DANJOU;femme;;030-01;DVE;;Ecologistes;
1346;Coralie;GHIRARDI;femme;;030-02;LFI;;La France Insoumise;
1347;Yvan;LACHAUD;homme;;030-02;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
1348;Geneviève;BOURRELY;femme;;030-02;DLF;;Droite souverainiste;
1349;Stéphane;MANSON;homme;;030-02;LO;;Divers extrême gauche;
1350;Frédéric;TOUZELLIER;homme;;030-02;LR;;Les Républicains;
1351;Julien;VOIRON;homme;;030-02;Parti pirate;;Divers;
1352;Nicolas;MEIZONNET;homme;;030-02;RN;;Rassemblement National;
1353;Zakaria;MOUKITE;homme;;030-02;DVE;;Ecologistes;
1354;Anthony;LEROY;homme;;030-02;Reconquête;;Reconquête !;
1355;Pierre-Jean;SEVILLA;homme;;030-02;DVE;;Ecologistes;
1356;Joëlle;SCARAMOZZINO;femme;;030-03;DVE;;Ecologistes;
1357;Catherine;MICHON;femme;;030-03;Parti animaliste;;Ecologistes;
1358;Monique;NOVARETTI;femme;;030-03;PRG;;Parti radical de gauche;
1359;Anne;GUICHARD;femme;;030-03;DVG;;Divers;
1360;Pascale;BORDES;femme;;030-03;RN;;Rassemblement National;
1361;Jean;EGÉA;homme;;030-03;LO;;Divers extrême gauche;
1362;Christophe;PRÉVOST;homme;;030-03;Résistons;;Régionaliste;
1363;Anthony;CELLIER;homme;checked;030-03;LRM;;Ensemble ! (Majorité présidentielle);
1364;Blandine;ARNAUD;femme;;030-03;LR;;Les Républicains;
1365;Sabine;OROMI;femme;;030-03;PCF;;Parti communiste français;
1366;Jean-Marie;MOULIN;homme;;030-03;Reconquête;;Reconquête !;
1367;Pierre;MEURIN;homme;;030-04;RN;;Rassemblement National;
1368;Aurélie;WAGNER;femme;;030-04;Reconquête;;Reconquête !;
1369;Nadine;SCHUSTER;femme;;030-04;DVE;;Ecologistes;
1370;Gaël;GIRARD;homme;;030-04;MdR;;Divers droite;
1371;Stéphanie;BIENKOWSKI;femme;;030-04;Parti animaliste;;Ecologistes;
1372;Dominique Richard;PASSIEU;homme;;030-04;Résistons;;Divers centre;
1373;Arnaud;BORD;homme;;030-04;PS;;Parti socialiste;https://twitter.com/arnaud_bord
1374;Denis;BIAIS;homme;;030-04;Patriotes;;Droite souverainiste;
1375;Jean-Pierre;DE FARIA;homme;;030-04;DVD;;Divers droite;
1376;Philippe;RIBOT;homme;;030-04;LRM;;Ensemble ! (Majorité présidentielle);
1377;Stéphane;NAPOLI;homme;;030-04;DIV;;Divers;
1378;Valérie;MARTRE;femme;;030-04;UDI;;Union des Démocrates et des Indépendants;
1379;Jérôme;GARCIA;homme;;030-04;LO;;Divers extrême gauche;
1380;Didier;MERAND;homme;;030-05;DVG;;Divers;
1381;Frédérique;BOZEC;femme;;030-05;Reconquête;;Reconquête !;
1382;Agnès;OLINET;femme;;030-05;LO;;Divers extrême gauche;
1383;Michel;SALA;homme;;030-05;LFI;;La France Insoumise;
1384;Catherine;ROCCO;femme;;030-05;DVE;;Ecologistes;
1385;Jean-Marie;LAUNAY;homme;;030-05;RN;;Rassemblement National;
1386;Nathan;CASANO;homme;;030-05;MdR;;Divers centre;
1387;Antoine;CAPALDI;homme;;030-05;Résistons;;Régionaliste;
1388;Annie;BRASSELET;femme;;030-05;Patriotes;;Droite souverainiste;
1389;Catherine;DAUFÈS-ROUX;femme;checked;030-05;LRM;;Ensemble ! (Majorité présidentielle);
1390;Léa;BOYER;femme;;030-05;LR;;Les Républicains;
1391;Sophie;GUILLOT;femme;;030-06;DIV;;Divers centre;
1392;Jean-Claude;MAURIN;homme;;030-06;FGR;;Divers gauche;
1393;Laurence;GARDET;femme;;030-06;RN;;Rassemblement National;
1394;Nicolas;CADÈNE;homme;;030-06;EE-LV;;Ecologistes;https://twitter.com/ncadene
1395;Aïcha;TERBECHE;femme;;030-06;LO;;Divers extrême gauche;
1396;Nicolas;STIVAL;homme;;030-06;Patriotes;;Droite souverainiste;
1397;Stéphane;GUILLEMIN;homme;;030-06;Reconquête;;Reconquête !;
1398;Stephane;GILLI;homme;;030-06;DVE;;Ecologistes;
1399;François;COURDIL;homme;;030-06;LR;;Les Républicains;
1400;Mounir;BENSLIMA;homme;;030-06;DVE;;Ecologistes;
1401;Philippe;BERTA;homme;checked;030-06;MDM,LRM;;Ensemble ! (Majorité présidentielle);
1402;Pierre;BAUDIS;homme;;031-01;LRM;;Ensemble ! (Majorité présidentielle);
1403;Benjamin;COMBES;homme;;031-01;Parti animaliste;;Ecologistes;
1404;Olivier;LE PENVEN;homme;;031-01;LO;;Divers extrême gauche;
1405;Cathy;MARSAL;femme;;031-01;RN;;Rassemblement National;
1406;Oscar;CASTILLO-MENDEGRIS;homme;;031-01;LR;;Les Républicains;
1407;Jacques;ROCCA;homme;;031-01;DVC;;Divers centre;
1408;Pierre Nicolas;BAPT;homme;;031-01;PRG;;Parti radical de gauche;
1409;Evelyne;BOUJAT;femme;;031-01;DIV;;Régionaliste;
1410;Hadrien;CLOUET;homme;;031-01;LFI;;La France Insoumise;https://twitter.com/HadrienClouet
1411;Aude;BATTISTELLA;femme;;031-01;Reconquête;;Reconquête !;
1412;Georges;PICARD;homme;;031-01;DIV;;Divers extrême gauche;
1413;Gilles;JOVIADO;homme;;031-02;PRG;;Divers gauche;
1414;Clotilde;BARTHÉLÉMY;femme;;031-02;LO;;Divers extrême gauche;
1415;Adeline;GUIBERT;femme;;031-02;SOUV;;Divers gauche;
1416;Charles;CAMPO;homme;;031-02;Patriotes;;Droite souverainiste;
1417;Jean-Luc;LAGLEIZE;homme;checked;031-02;MDM,LRM;;Ensemble ! (Majorité présidentielle);
1418;Estelle;DE TOURNADRE;femme;;031-02;DIV;;Divers;
1419;Christine;GENNARO-SAINT;femme;;031-02;LR;;Les Républicains;
1420;Catherine;CATHALA;femme;;031-02;DIV;;Ecologistes;
1421;Pierre;MARTIN;homme;;031-02;Parti pirate;;Divers;
1422;Sonia;TEYCHENE;femme;;031-02;RN;;Rassemblement National;
1423;Laurent;BALES;homme;;031-02;REG;;Régionaliste;
1424;Nicolas;KARASIAK;homme;;031-02;Parti animaliste;;Ecologistes;
1425;Anne;STAMBACH-TERRENOIR;femme;;031-02;LFI;;La France Insoumise;https://twitter.com/Anne_Stambach
1426;Pauline;LORANS;femme;;031-02;Reconquête;;Reconquête !;
1427;Stéphanie;ALARCON;femme;;031-03;RN;;Rassemblement National;
1428;Benoît;CALMELS;homme;;031-03;DIV;;Ecologistes;
1429;Agathe;ROBY;femme;;031-03;LFI;;La France Insoumise;https://twitter.com/RobyAgathe
1430;Corinne;VIGNON;femme;checked;031-03;LRM;;Ensemble ! (Majorité présidentielle);
1431;David;SAFORCADA;homme;;031-03;SOUV;;Divers gauche;
1432;Malena;ADRADA;femme;;031-03;LO;;Divers extrême gauche;
1433;Laurence;ARRIBAGÉ;femme;;031-03;LR;;Les Républicains;
1434;Olivier;DE GUYENRO;homme;;031-03;DIV;;Divers droite;
1435;Clément;SANVISENS;homme;;031-03;Parti animaliste;;Ecologistes;
1436;Camille;DULON;femme;;031-03;Reconquête;;Reconquête !;
1437;Patrice;MUR;homme;;031-03;PRG;;Parti radical de gauche;
1438;André Michel;LIGNIER;homme;;031-03;DIV;;Divers gauche;
1439;Ewa;SADOWSKI;femme;;031-04;RN;;Rassemblement National;
1440;Patrick;MARCIREAU;homme;;031-04;LO;;Divers extrême gauche;
1441;Arthur;COTTREL;homme;;031-04;Reconquête;;Reconquête !;https://twitter.com/ArthurCottrel
1442;Raimon;SABATER;homme;;031-04;Parti animaliste;;Ecologistes;
1443;Sandrine;LAFARGE;femme;;031-04;DIV;;Divers gauche;
1444;Jacme;DELMAS;homme;;031-04;REG;;Régionaliste;
1445;Khady-Alberte;SY;femme;;031-04;DIV;;Divers gauche;
1446;François;PIQUEMAL;homme;;031-04;LFI;;La France Insoumise;https://twitter.com/FraPiquemal
1447;Cécile;BRANDELY;femme;;031-04;EXG;;Divers extrême gauche;
1448;Bertrand;SERP;homme;;031-04;LR;;Les Républicains;
1449;Anaïs;JALOUNEIX;femme;;031-04;DIV;;Divers gauche;
1450;Jean-Pierre;CARSALADE;homme;;031-04;DIV;;Divers centre;
1451;Marie-Claire;CONSTANS;femme;;031-04;LRM;;Ensemble ! (Majorité présidentielle);
1452;Fatiha;AGAG-BOUDJAHLAT;femme;;031-04;FGR;;Divers gauche;
1453;Pascal;VIRGOS;homme;;031-05;DLF;;Droite souverainiste;
1454;Bruno;HONTANS;homme;;031-05;Reconquête;;Reconquête !;
1455;Jean-Christophe;CHERONNET;homme;;031-05;LR;;Les Républicains;
1456;Jérôme;PIQUES;homme;;031-05;Résistons;;Régionaliste;
1457;Sylvie;ESPAGNOLLE;femme;;031-05;LFI;;La France Insoumise;https://twitter.com/s_espagnolleFI
1458;Michel;LASERGE;homme;;031-05;LO;;Divers extrême gauche;
1459;Julien;LEONARDELLI;homme;;031-05;RN;;Rassemblement National;
